Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7259127199441904,0.7544846992613436,0.6671850699844479,0.7081545064377682,0.7918105974904666
Random Forest,0.732888923339276,0.7587582379465834,0.6804043545878694,0.7174483437192523,0.799492099336362
XGBoost,0.7320362762576544,0.7509707918284653,0.6917573872472784,0.7201489516716587,0.7985859029386523
